seed,rho,bootstrap_mean,bootstrap_var
8375,0.3,9.30136839648892,0.051021451394973986
6936,0.3,9.449457810604057,0.09130032623950615
5104,0.3,9.414362452153847,0.018142291784243553
8514,0.3,9.698978700306863,0.06216998787624799
4994,0.3,9.444090693482734,0.05831062674327641
8980,0.3,9.26000613352424,0.03792066947812444
3925,0.3,9.874863168323017,0.03013327231515878
400,0.3,9.348531829183194,0.11124295655191546
6864,0.3,9.156468265922092,0.06492104330407684
7441,0.3,9.12199825940319,0.09287086503089012
9669,0.3,9.524324481165868,0.08678503185098874
5846,0.3,9.57244587524381,0.05152978382736971
3294,0.3,9.407608948618396,0.1209780252488886
7006,0.3,9.534798869247732,0.07291317927974586
7297,0.3,9.640077413001436,0.08400761758000444
5588,0.3,9.311369189355995,0.03400600415508911
417,0.3,9.32971205002924,0.13127177053451386
5838,0.3,9.608031221786975,0.06371482127151819
6882,0.3,9.845001526079859,0.004403666474630386
9965,0.3,9.208109110882495,0.08260437462342873
9462,0.3,9.49658434624759,0.05472415312117703
9173,0.3,9.232876037159548,0.05995809958097332
1643,0.3,9.330901226934886,0.07688710054702241
1808,0.3,9.665586026272429,0.08864809851433365
1518,0.3,9.441346418608063,0.08059629671545374
3473,0.3,9.588457761485028,0.0734095225020975
8622,0.3,9.393062155635414,0.07874449864072157
7542,0.3,9.486691436107142,0.03545401527973372
3479,0.3,9.454165438510302,0.050274819808654767
517,0.3,9.773581942596376,0.05315676137647806
1043,0.3,9.284981898108963,0.08354726371239535
9323,0.3,9.572862269123261,0.08411850744096001
1003,0.3,9.338445105207022,0.13322881110971835
2128,0.3,9.380780898188677,0.04693138744731136
4286,0.3,9.343458388675733,0.06701066522414154
1230,0.3,9.301879417209555,0.05167379960558309
5036,0.3,9.426574614274072,0.08920141286695485
4145,0.3,9.583226512998808,0.04397641170144898
7308,0.3,9.416402173096662,0.07447307897220598
4097,0.3,9.342330036068336,0.08435620406528263
5948,0.3,9.347679044985561,0.08242002702679399
4874,0.3,9.59127396410825,0.07844097772317131
9865,0.3,9.401781294505808,0.05191272691663376
313,0.3,9.900583309837991,0.04712147244617457
5854,0.3,9.548538149966683,0.051975323756380615
1158,0.3,9.46672739658355,0.07182994227126976
7200,0.3,9.921898935680872,0.0560230736676225
9714,0.3,9.224549432361812,0.03111566104914482
2560,0.3,9.286489517040113,0.0071447757443524875
836,0.3,9.417667708281698,0.03396165362098133
5187,0.3,9.293237301853344,0.06675838995904053
6808,0.3,9.55947538134508,0.08550732623504195
4820,0.3,9.402612744230062,0.17859933456463759
7342,0.3,9.24489534151345,0.0942025508452283
8036,0.3,9.252314971915867,0.056968971908454256
3868,0.3,9.352207135106346,0.1010909870308032
3975,0.3,9.166513643732008,0.06906619184911497
4052,0.3,9.392618133575413,0.06150801416489479
3385,0.3,9.635443864321887,0.026894679996974168
5556,0.3,9.379217688474895,0.07493008261743364
9778,0.3,9.513250565590882,0.04724946394884997
6198,0.3,9.463682090446273,0.11453250567167576
1957,0.3,9.367533867227554,0.06917648515011819
255,0.3,9.621853740549643,0.046823356634471736
8953,0.3,9.5163293665561,0.055554646895207484
1707,0.3,9.181246753027557,0.09612395485492761
6953,0.3,9.366096777428567,0.09813170802509522
9184,0.3,9.577446666342176,0.09314304458506754
5370,0.3,9.383332182914634,0.10696823356149508
5693,0.3,9.893942091362149,0.06948191328983441
9246,0.3,9.585986640058733,0.05975059020073659
1992,0.3,9.713222472877604,0.03688158419044313
1050,0.3,9.507981838449608,0.0781055909098916
3173,0.3,9.161099610639106,0.055971478585897974
3417,0.3,9.48408495647771,0.11472571922764682
6471,0.3,9.185305692913596,0.08259258002162245
468,0.3,9.134665130190633,0.05042109404820469
7043,0.3,9.256307075404944,0.034657530651038146
2403,0.3,9.058823231443744,0.05634991793875911
9931,0.3,9.345444259599672,0.047353797210603975
9952,0.3,10.121681833172403,0.10336001847022275
9986,0.3,9.673088974104537,0.010701373212803669
6863,0.3,9.312096985959688,0.08119860920812647
9007,0.3,9.192065087036918,0.04214787444377585
6624,0.3,9.312395586302365,0.037931012396845064
5365,0.3,9.438462345047773,0.07052003699262552
5341,0.3,9.262160829940786,0.04016219124970845
6726,0.3,9.654746750734915,0.04321112791870167
3141,0.3,9.504222426821824,0.06510267244025951
6826,0.3,9.439860271127557,0.08042435590970351
7405,0.3,9.721905757042618,0.0723778128812836
1189,0.3,9.237739061585645,0.13466143001619946
654,0.3,9.178263293289907,0.09019639158134
