seed,rho,bootstrap_mean,bootstrap_var
8375,0.2,19.78928926499071,0.09057623104186067
6936,0.2,19.469640108724047,0.10450661907948257
5104,0.2,19.948016170901365,0.07153749604241771
8514,0.2,19.718191587285506,0.07447559252086468
4994,0.2,19.746207561384335,0.0885703255752878
8980,0.2,19.784003350063443,0.11071711961567621
3925,0.2,20.212035883487378,0.1023548877411591
400,0.2,19.78229245169812,0.08764587844591343
6864,0.2,19.4304378239227,0.10390318776764312
7441,0.2,19.79040071678756,0.087835501116258
9669,0.2,20.04305815607696,0.09914161998959292
5846,0.2,20.059545327062953,0.11723015824788272
3294,0.2,19.882362279853723,0.09242058036416573
7006,0.2,19.989560433153986,0.09329685165252091
7297,0.2,20.222330649653824,0.0927071410161948
5588,0.2,19.861641490140144,0.08941537087050952
417,0.2,19.701841689472516,0.09129264445960131
5838,0.2,20.168242521425718,0.11988612232213
6882,0.2,20.009334545505865,0.11598938591835527
9965,0.2,19.633577931248887,0.08656241248523244
9462,0.2,19.992632475862365,0.09057987104590388
9173,0.2,19.761505977006177,0.07183658391935188
1643,0.2,20.018298925591886,0.09203568652974368
1808,0.2,20.040400345543173,0.09684090117205935
1518,0.2,20.013922690026774,0.09634929974583127
3473,0.2,20.00003903432016,0.11410774421427973
8622,0.2,19.77865306525259,0.07420478438731577
7542,0.2,20.10968233354673,0.0898897876904181
3479,0.2,19.847570794018004,0.08778842799895172
517,0.2,20.050173299911428,0.09200834312221882
1043,0.2,19.9897384421558,0.09151548233210408
9323,0.2,19.869707136702374,0.09179587226374573
1003,0.2,19.883562330510028,0.09398134132744007
2128,0.2,19.764672592873065,0.07759540763220697
4286,0.2,19.947580531471747,0.06272615852179049
1230,0.2,19.595843348550712,0.08764283745990738
5036,0.2,19.71144844670528,0.07110905672614788
4145,0.2,19.848450051333927,0.10281884654958627
7308,0.2,19.991833641798163,0.09649108275653308
4097,0.2,19.818282105165302,0.102787332307865
5948,0.2,19.751462811659806,0.096222278575983
4874,0.2,19.83371800249635,0.07964334475642616
9865,0.2,19.87838314575603,0.07869145596924541
313,0.2,19.999095519288627,0.07627189931033881
5854,0.2,19.76183543732274,0.11124644700070264
1158,0.2,19.92412939892314,0.084267850093661
7200,0.2,20.119648949312147,0.11236071312306446
9714,0.2,19.55059339804188,0.1053274963749538
2560,0.2,19.467438397487463,0.0784357161568456
836,0.2,19.729542845630682,0.1080731504498524
5187,0.2,19.698149055879806,0.08405656259991273
6808,0.2,20.403342117867034,0.10467289671432686
4820,0.2,19.99383063520307,0.08199761989044214
7342,0.2,19.62871911262014,0.09682815411507961
8036,0.2,19.925386166680827,0.10124965478391415
3868,0.2,19.895065153827208,0.10446857965791118
3975,0.2,19.536572494039007,0.10161774104712616
4052,0.2,19.98033615813141,0.060761867328600554
3385,0.2,19.813909512962713,0.09470388334767124
5556,0.2,20.12841505375408,0.10480362745486994
9778,0.2,19.89673100230877,0.09831467708355619
6198,0.2,20.204731513985074,0.11690039169927903
1957,0.2,19.869586680573107,0.11143804577265198
255,0.2,19.52344527174447,0.09327433760311499
8953,0.2,20.273054021649283,0.089137851677161
1707,0.2,19.683670614798917,0.10318348739119386
6953,0.2,19.45090354972527,0.09784322124774211
9184,0.2,19.977908483518583,0.09005820645048299
5370,0.2,19.49443185813676,0.07707856866680005
5693,0.2,19.99336784696386,0.10176639044583985
9246,0.2,20.311254144207247,0.09754050450162662
1992,0.2,20.111118810416833,0.11493232466911939
1050,0.2,19.742117881400326,0.09677150754554764
3173,0.2,19.409936299034264,0.06993568621320931
3417,0.2,20.316682154347223,0.09783299574059516
6471,0.2,19.665173084619365,0.09551234556039595
468,0.2,19.70001628820058,0.09552753391706456
7043,0.2,19.850425751200774,0.11218320575051198
2403,0.2,19.92363719964326,0.0847325248667516
9931,0.2,19.696019858578776,0.08528683243161049
9952,0.2,20.10435685038547,0.09063287238074423
9986,0.2,20.491908606660363,0.0859614208020526
6863,0.2,19.670275400946903,0.1180328210406612
9007,0.2,19.758025585038787,0.11367072211399924
6624,0.2,19.770134293437337,0.11795831652074068
5365,0.2,20.11685349967525,0.08344060775013995
5341,0.2,19.734934211056963,0.07648022377607151
6726,0.2,20.083054486147443,0.08977127754299472
3141,0.2,19.991699711362113,0.07895753129336987
6826,0.2,19.9262923657481,0.09808094551924378
7405,0.2,19.835427739482423,0.09412209638528714
1189,0.2,19.822705142451518,0.08053036775957054
654,0.2,19.41645533922866,0.09074730156690038
8101,0.2,20.314735484671964,0.11033563675034547
8817,0.2,19.83370976686248,0.07930968521084987
1948,0.2,19.839094831768183,0.08995154869686528
5881,0.2,20.45920462742506,0.11253870624245821
6346,0.2,20.01661539422546,0.07426677064778332
285,0.2,19.867911320080385,0.09145624656937182
4794,0.2,20.14033150953286,0.09219798163657401
5081,0.2,20.4370333654385,0.0803889787827591
