seed,rho,loco
8375,0.2,3.6329289279753727
6936,0.2,3.5059844309739763
5104,0.2,3.831319238024893
8514,0.2,3.396957829489504
4994,0.2,3.627511750254679
8980,0.2,3.642729673685359
3925,0.2,3.619937518115192
400,0.2,3.413134338624066
6864,0.2,3.558513335798895
7441,0.2,3.703278868890565
9669,0.2,3.599773914470255
5846,0.2,3.5291448023390872
3294,0.2,3.599184546036483
7006,0.2,3.5337895129952503
7297,0.2,3.6242806589730234
5588,0.2,3.6163839130042357
417,0.2,3.498946108899503
5838,0.2,3.6522032741933312
6882,0.2,3.6570374417515232
9965,0.2,3.4643153820080475
9462,0.2,3.498368868808029
9173,0.2,3.504262026072354
1643,0.2,3.7060538733643664
1808,0.2,3.3782727673491273
1518,0.2,3.6570121032979497
3473,0.2,3.4715919385973333
8622,0.2,3.315294565898463
7542,0.2,3.641934256741539
3479,0.2,3.383452011115523
517,0.2,3.425148760820175
1043,0.2,3.6581467750653065
9323,0.2,3.4236087442870353
1003,0.2,3.462431440010443
2128,0.2,3.41109711760436
4286,0.2,3.378215871113759
1230,0.2,3.5811063428438965
5036,0.2,3.4729100331585148
4145,0.2,3.6364546458023757
7308,0.2,3.4979069133853784
4097,0.2,3.359474388969903
5948,0.2,3.564761274086167
4874,0.2,3.531713575854222
9865,0.2,3.5990598923505495
313,0.2,3.587062494331402
5854,0.2,3.239731964676624
1158,0.2,3.524871746375241
7200,0.2,3.6014618566324312
9714,0.2,3.4988587910326503
2560,0.2,3.4354579079892726
836,0.2,3.6204237006575566
5187,0.2,3.4880201749141735
6808,0.2,3.7862585363415384
4820,0.2,3.4171996434170255
7342,0.2,3.58802936598876
8036,0.2,3.8661932854327556
3868,0.2,3.498942773921293
3975,0.2,3.3855626367562586
4052,0.2,3.5496952011156218
3385,0.2,3.61686227984454
5556,0.2,3.519518762682867
9778,0.2,3.496258251907218
6198,0.2,3.480595842513573
1957,0.2,3.507855099239973
255,0.2,3.3739698984410964
8953,0.2,3.6694737729469082
1707,0.2,3.3946052594516303
6953,0.2,3.354436491072951
9184,0.2,3.5418396990714793
5370,0.2,3.5023039647925556
5693,0.2,3.564002842277973
9246,0.2,3.8045079588133497
1992,0.2,3.516282561700333
1050,0.2,3.343776182211224
3173,0.2,3.409958926739577
3417,0.2,3.7381128413229865
6471,0.2,3.4541281213009913
468,0.2,3.458246857722033
7043,0.2,3.4976192398587695
2403,0.2,3.6461246702046326
9931,0.2,3.4878137635278827
9952,0.2,3.636403734740779
9986,0.2,3.8042700083387633
6863,0.2,3.4145313908837913
9007,0.2,3.505150186081015
6624,0.2,3.4487297789394153
5365,0.2,3.584076796182365
5341,0.2,3.605154350910957
6726,0.2,3.5704274811880348
3141,0.2,3.581724637586344
6826,0.2,3.6113466484884356
7405,0.2,3.557243957549182
1189,0.2,3.491162960141498
654,0.2,3.381143795839792
8101,0.2,3.6223030137449577
8817,0.2,3.5942129823468596
1948,0.2,3.850546452169411
5881,0.2,3.7314590537107666
6346,0.2,3.407091797606925
285,0.2,3.6403139921333594
4794,0.2,3.7768517812923212
5081,0.2,3.686222816777498
2933,0.2,3.5145412519782893
8367,0.2,3.540615033633199
6147,0.2,3.693034531594188
2583,0.2,3.7025502384829254
7564,0.2,3.377054974487728
7725,0.2,3.445594691537548
1046,0.2,3.48776225056187
5831,0.2,3.626714101844338
2738,0.2,3.62770266185726
3386,0.2,3.573866857869443
278,0.2,3.5086305260513804
4552,0.2,3.679143482294406
9990,0.2,3.655803717587144
3844,0.2,3.528088691805637
5526,0.2,3.4554809586673194
7303,0.2,3.615114514419215
3083,0.2,3.5442768694846034
8258,0.2,3.5186989370796846
7084,0.2,3.442447043622953
683,0.2,3.632566553393099
4020,0.2,3.45138469129469
9192,0.2,3.7357276007185254
2662,0.2,3.501787269024736
535,0.2,3.5034812258859054
1307,0.2,3.2956600156050744
3009,0.2,3.560869238429893
8823,0.2,3.710947686683962
9868,0.2,3.5632902808834697
7857,0.2,3.60491136514998
118,0.2,3.5117444226162107
2483,0.2,3.4908292256804385
9607,0.2,3.353127931302513
5811,0.2,3.51023467929223
1771,0.2,3.4893279078193995
5667,0.2,3.6682492683962638
9684,0.2,3.624892326372553
4080,0.2,3.4025010611353306
9833,0.2,3.4485615604862456
1316,0.2,3.3974156171444347
2895,0.2,3.7436613407759234
6695,0.2,3.57694452098867
9428,0.2,3.5586831898839772
4260,0.2,3.773866905350485
549,0.2,3.33491067455957
7110,0.2,3.506522245253538
5062,0.2,3.54113013162569
6648,0.2,3.722623825278914
5219,0.2,3.6236021330464974
8067,0.2,3.650258240186515
4306,0.2,3.5629199381035184
5980,0.2,3.6137086131998206
5503,0.2,3.5369927426835464
6277,0.2,3.7101072067354863
6180,0.2,3.416793190051761
4583,0.2,3.6674033242759316
5818,0.2,3.5515554838530186
9728,0.2,3.612276310730814
9551,0.2,3.4828121005777133
7489,0.2,3.686192977887563
8072,0.2,3.6383505768139157
3513,0.2,3.563151799158117
2588,0.2,3.538916850526981
5511,0.2,3.5267293060089546
3435,0.2,3.7468163636741476
434,0.2,3.6111857910801453
1488,0.2,3.2524029462947777
9076,0.2,3.7014062400171666
8162,0.2,3.3610523467327003
8985,0.2,3.764741353805097
9319,0.2,3.459676963556997
6115,0.2,3.435779372816203
2935,0.2,3.527701937940485
2018,0.2,3.6298116515226715
73,0.2,3.5156209650561303
4043,0.2,3.7419902338120705
9720,0.2,3.4954153751934625
7721,0.2,3.4511582199082076
7130,0.2,3.501043837978429
8352,0.2,3.6941160974421114
6697,0.2,3.2856151416336097
3161,0.2,3.453366385183969
8177,0.2,3.60909823911972
5441,0.2,3.6305920156243934
4739,0.2,3.3822591057976563
7373,0.2,3.5334991528404167
5080,0.2,3.5431183105776967
3043,0.2,3.3379642586008442
5117,0.2,3.5774707104450094
6740,0.2,3.8928818511722385
2378,0.2,3.506120434579106
8801,0.2,3.471992725766291
6790,0.2,3.489900462640475
9090,0.2,3.59184798533001
7945,0.2,3.4169292090718972
8995,0.2,3.540774632270506
4192,0.2,3.542714899980335
3440,0.2,3.369570448861025
1559,0.2,3.6840858198361195
6676,0.2,3.655751279016891
3340,0.2,3.5243389755065557
3192,0.2,3.6106391284939594
779,0.2,3.398844089458601
4957,0.2,3.6878107325660814
8625,0.2,3.495805532236079
8145,0.2,3.6175532401237325
4827,0.2,3.528127804777487
9737,0.2,3.5536139246406373
934,0.2,3.540879659552357
5557,0.2,3.4358743838652117
6817,0.2,3.6086325862024156
6231,0.2,3.3860910632639856
6947,0.2,3.6416896867477284
5324,0.2,3.4762123319712988
3321,0.2,3.614145001515615
349,0.2,3.643529506464221
6940,0.2,3.502460431582308
9364,0.2,3.706395417909121
9867,0.2,3.484368462204708
8360,0.2,3.543027330055984
8435,0.2,3.4796924856589957
7670,0.2,3.5841270747272302
4208,0.2,3.5464995812966364
4675,0.2,3.5434973151358378
2710,0.2,3.2299891957033857
9004,0.2,3.666928423677162
729,0.2,3.3479968855733
7063,0.2,3.675989532796267
594,0.2,3.515376056598452
5195,0.2,3.4629053050290786
2661,0.2,3.6143978957493887
5316,0.2,3.4997421974748075
2324,0.2,3.5605628998288337
6598,0.2,3.7565900942949906
1525,0.2,3.441209906564067
8528,0.2,3.656333239917447
7068,0.2,3.500119299621965
9896,0.2,3.632620181072923
6308,0.2,3.5267978784837464
6649,0.2,3.5228705195297927
9304,0.2,3.266647295380894
4634,0.2,3.7565670887532994
7369,0.2,3.5467576157853618
2987,0.2,3.576912841015208
8458,0.2,3.5110105354401187
6891,0.2,3.290988399058433
3858,0.2,3.6221088706202886
3420,0.2,3.5818771644587866
4688,0.2,3.5823202109807273
8022,0.2,3.2945810776260362
8393,0.2,3.4265791463068043
3669,0.2,3.5852671557989444
1913,0.2,3.60687233891571
1290,0.2,3.504136198066596
598,0.2,3.5407906202631407
5288,0.2,3.6309975108232564
3237,0.2,3.5483651540936068
1854,0.2,3.5395850192063785
3167,0.2,3.475366588694003
2518,0.2,3.5484267463260784
7779,0.2,3.6031753025774886
8627,0.2,3.6272554080606527
1027,0.2,3.5761921585204925
5371,0.2,3.505018484617711
2699,0.2,3.6326440147914907
7213,0.2,3.5769410825280064
8465,0.2,3.8096318143358525
919,0.2,3.664081847628611
3630,0.2,3.6335595681503516
1125,0.2,3.4904090656260314
7235,0.2,3.4605927074856906
5165,0.2,3.4357287149638633
139,0.2,3.676225690560786
5001,0.2,3.8028496284882953
2897,0.2,3.464804096800168
4864,0.2,3.450029455649058
5754,0.2,3.423669226276389
1444,0.2,3.655504631039314
699,0.2,3.4739922492434223
1072,0.2,3.65786626931554
8051,0.2,3.475716081008076
6274,0.2,3.5350243306885565
6858,0.2,3.5381351448331326
7331,0.2,3.600062531043835
8065,0.2,3.597596084543758
501,0.2,3.505472901949574
7412,0.2,3.63302999860898
9363,0.2,3.61291713371026
2441,0.2,3.3216868408955564
9116,0.2,3.565082889034782
9189,0.2,3.562073888960458
350,0.2,3.6289557210301844
2871,0.2,3.412150675604864
7845,0.2,3.4780246470367597
7204,0.2,3.466419899800907
3967,0.2,3.4176322507207866
2190,0.2,3.531015412608064
5264,0.2,3.7364819770179984
6045,0.2,3.409685430012652
6283,0.2,3.5103249587494556
3360,0.2,3.52381084319574
2867,0.2,3.327394984546542
2512,0.2,3.6178098985712177
6573,0.2,3.567876781850835
2706,0.2,3.329863511024109
648,0.2,3.5444020574328885
8404,0.2,3.4610682912719977
9950,0.2,3.573377196721916
1418,0.2,3.474366551698271
7947,0.2,3.461046585846855
6481,0.2,3.499997689486653
4951,0.2,3.496543014249177
7785,0.2,3.5285866160060237
9571,0.2,3.4986641533896616
4349,0.2,3.5550751980028696
3032,0.2,3.5249867531952264
1578,0.2,3.4560478407619977
4065,0.2,3.772282607173403
6669,0.2,3.5681780452188816
1776,0.2,3.5792263748764803
