seed,rho,loco
8375,0.2,2.3305849764046616
6936,0.2,2.4333975398747882
5104,0.2,2.914501518082789
8514,0.2,3.0370106186726793
4994,0.2,3.40466721267745
8980,0.2,3.664754166900276
3925,0.2,2.438260309888487
400,0.2,3.954770871966955
6864,0.2,3.68192815266079
7441,0.2,2.318050352599595
9669,0.2,3.7971109510178183
5846,0.2,2.0238573678173783
3294,0.2,2.1477043765929476
7006,0.2,2.6051085751762204
7297,0.2,1.6665010160333678
5588,0.2,3.090401215145109
417,0.2,2.8642201470099744
5838,0.2,2.3895752038254976
6882,0.2,1.645724231195615
9965,0.2,3.538019995726544
9462,0.2,3.404290295270911
9173,0.2,2.4747938980764377
1643,0.2,3.646178351280426
1808,0.2,3.5712554468693347
1518,0.2,3.0122159550558973
3473,0.2,2.6099450339270307
8622,0.2,2.872104213079248
7542,0.2,2.7348482230798643
3479,0.2,3.072048523376135
517,0.2,2.885082235551919
1043,0.2,3.3486179106952396
9323,0.2,2.6501796068396573
1003,0.2,3.095768947398939
2128,0.2,3.3974432824377856
4286,0.2,2.716644863891719
1230,0.2,3.5111080614459453
5036,0.2,4.22215243981563
4145,0.2,2.7725955048220423
7308,0.2,1.734644018164293
4097,0.2,2.441638263359013
5948,0.2,3.0045849960058026
4874,0.2,3.6771411304523407
9865,0.2,2.7083141043970103
313,0.2,1.9951363288581976
5854,0.2,2.178457964723198
1158,0.2,1.7854828365896864
7200,0.2,3.5564443488093778
9714,0.2,3.02515747545614
2560,0.2,2.3726023149077418
836,0.2,2.0249172579245323
5187,0.2,2.105414623428617
6808,0.2,2.922666718249706
4820,0.2,2.4371615493554395
7342,0.2,3.10443392652698
8036,0.2,3.147732465931882
3868,0.2,2.39911745774937
3975,0.2,2.8900082576507273
4052,0.2,3.6473934263909484
3385,0.2,2.695102902376234
5556,0.2,3.613655688702591
9778,0.2,4.271745830728272
6198,0.2,3.6002793166721205
1957,0.2,2.784260749283684
255,0.2,3.417221404340098
8953,0.2,2.108273102260077
1707,0.2,3.709832788917758
6953,0.2,2.4801849561529314
9184,0.2,4.163749475460014
5370,0.2,5.084901324398157
5693,0.2,3.0164475345849078
9246,0.2,3.1732909679395287
1992,0.2,2.9860073873999955
1050,0.2,2.882568732988264
3173,0.2,2.9689489584578728
3417,0.2,4.598924542601155
6471,0.2,3.6663201884874432
468,0.2,2.734743879933151
7043,0.2,3.1226521412841404
2403,0.2,3.360563837926612
9931,0.2,3.3060088613052603
9952,0.2,2.699784251023383
9986,0.2,4.451863111418491
6863,0.2,1.8346577029896616
9007,0.2,2.8884843250103005
6624,0.2,2.644498088347703
5365,0.2,3.664104374110348
5341,0.2,3.7866807170795136
6726,0.2,3.8060187452604106
3141,0.2,4.872344366414333
6826,0.2,3.247072835272184
7405,0.2,2.4024934781115896
1189,0.2,2.657610725485148
654,0.2,2.7788052031622787
8101,0.2,3.089120305893118
8817,0.2,2.873705937649048
1948,0.2,3.264168064026153
5881,0.2,3.2329623080945713
6346,0.2,2.5643757225868593
285,0.2,3.6183449145833175
4794,0.2,5.6422552257514145
5081,0.2,2.994263019185106
2933,0.2,3.0599672822469137
8367,0.2,3.182371508030415
6147,0.2,2.630590576382934
2583,0.2,3.465521992090013
7564,0.2,3.388029296151441
7725,0.2,2.4896088318433542
1046,0.2,3.3392565462762764
5831,0.2,4.644874879326758
2738,0.2,2.9673441366883835
3386,0.2,2.522433910355937
278,0.2,3.198570959478399
4552,0.2,3.440581438461178
9990,0.2,3.023428581749405
3844,0.2,3.2302879679021306
5526,0.2,3.540605431419413
7303,0.2,2.867812226414222
3083,0.2,2.6291121697607474
8258,0.2,3.719291634370625
7084,0.2,3.1899461285162376
683,0.2,3.345713954007539
4020,0.2,1.886454515441021
9192,0.2,2.741260845521168
2662,0.2,3.3400534349797573
535,0.2,2.8031305044414627
1307,0.2,2.8719929153430477
3009,0.2,3.428710269931142
8823,0.2,3.7594321981133483
9868,0.2,3.931616451953671
7857,0.2,3.3196057266509555
118,0.2,3.6899135019913194
2483,0.2,2.8933573668010375
9607,0.2,2.8585107988493075
5811,0.2,4.917748039539076
1771,0.2,3.161009052391451
5667,0.2,3.5511742762607246
9684,0.2,3.30085414198786
4080,0.2,2.1943168705962446
9833,0.2,2.8686212370448283
1316,0.2,3.014389979326705
2895,0.2,3.499143267716957
6695,0.2,2.8509577863241344
9428,0.2,4.017830126094711
4260,0.2,2.658074641897719
549,0.2,3.205600479205826
7110,0.2,3.4892483406993637
5062,0.2,3.453074641891863
6648,0.2,2.930219859693386
5219,0.2,4.015636809511556
8067,0.2,2.3940165235052184
4306,0.2,3.781778312016422
5980,0.2,2.756131242005506
5503,0.2,2.513026289498471
6277,0.2,2.707798146927627
6180,0.2,1.9587053855191967
4583,0.2,3.5810382508607765
5818,0.2,2.888637294506553
9728,0.2,4.437011750777461
9551,0.2,3.0753375467608
7489,0.2,3.418651375208487
8072,0.2,3.206498129966891
3513,0.2,3.385129954524322
2588,0.2,3.899743411811961
5511,0.2,3.183098869657486
3435,0.2,2.4324208488188983
434,0.2,2.9968748842000332
1488,0.2,2.4512590479803285
9076,0.2,3.795937693281246
8162,0.2,2.7513727612710315
8985,0.2,4.2559732320717565
9319,0.2,1.232573445706612
6115,0.2,3.054821688360497
2935,0.2,2.7212088591135943
2018,0.2,3.2673168767110097
73,0.2,3.2363169334343795
4043,0.2,3.1065808408736406
9720,0.2,3.1930821412922685
7721,0.2,2.5264924459804035
7130,0.2,2.297013867574552
8352,0.2,2.923897097089054
6697,0.2,2.9191853325310033
3161,0.2,3.2754145786442797
8177,0.2,2.9311341532855177
5441,0.2,3.222028676751269
4739,0.2,2.2553155657309807
7373,0.2,3.6512166771769277
5080,0.2,2.733557766106886
3043,0.2,3.0330934316794864
5117,0.2,3.1323343205867826
6740,0.2,4.174859394063073
2378,0.2,4.105708939554652
8801,0.2,3.459304499240429
6790,0.2,3.147399750468782
9090,0.2,3.8545443696559776
7945,0.2,2.2943394874847365
8995,0.2,3.0492395013059177
4192,0.2,2.876739439821555
3440,0.2,2.848727290460775
1559,0.2,2.642638880901975
6676,0.2,3.5090622762326498
3340,0.2,3.4193964032525135
3192,0.2,2.953109640280659
779,0.2,1.8665614435165354
4957,0.2,3.667233864253311
8625,0.2,3.125924739157489
8145,0.2,3.427335647469034
4827,0.2,3.1380019347763364
9737,0.2,3.904519387150397
934,0.2,2.731454472001178
5557,0.2,3.4596086642564434
6817,0.2,3.6919846425291105
6231,0.2,3.061170699281292
6947,0.2,2.89958248140391
5324,0.2,4.0165593877515064
3321,0.2,3.387158871520903
349,0.2,2.9310875854400438
6940,0.2,2.5896895036982523
9364,0.2,4.220349849246696
9867,0.2,2.98820780782634
8360,0.2,2.719109591151988
8435,0.2,3.0624823593987625
7670,0.2,2.7690374416469448
4208,0.2,2.5410661068799087
4675,0.2,2.3803221972216213
2710,0.2,2.1994769321942145
9004,0.2,2.5797015652441875
729,0.2,2.1179885546530683
7063,0.2,3.088445729753098
594,0.2,3.6616054241698723
5195,0.2,2.04050974300712
2661,0.2,3.457318921936876
5316,0.2,2.7213765789339925
2324,0.2,2.7332208250141314
6598,0.2,1.6262747059714737
1525,0.2,3.2643642105601978
8528,0.2,2.320526776934043
7068,0.2,2.6965267220644606
9896,0.2,3.013623819856364
6308,0.2,2.6253236134725566
6649,0.2,3.659501117435868
9304,0.2,2.5146685694598054
4634,0.2,3.2227376483269383
7369,0.2,2.7701655502995997
2987,0.2,2.3085172379637036
8458,0.2,3.1721862935836835
6891,0.2,2.6981412433686978
3858,0.2,3.884661384550344
3420,0.2,2.910246666447055
4688,0.2,3.305498966445614
8022,0.2,3.2502226438988364
8393,0.2,1.9111145687459437
3669,0.2,3.4339235955153535
1913,0.2,4.0504808992010695
1290,0.2,2.7952370119673144
598,0.2,2.5538776585191454
5288,0.2,2.8030761133288475
3237,0.2,2.7388022951185453
1854,0.2,3.1984881806585452
3167,0.2,3.154254298991046
2518,0.2,2.7009168306798794
7779,0.2,2.817403366154084
8627,0.2,2.717630344844547
1027,0.2,3.2481194287272803
5371,0.2,3.912151064491046
2699,0.2,2.3610479471982586
7213,0.2,2.931001924252075
8465,0.2,2.478297997424133
919,0.2,3.934053308402273
3630,0.2,2.931480705692796
1125,0.2,2.831557247823709
7235,0.2,2.2573466983781776
5165,0.2,3.021213637275877
139,0.2,3.568557434016854
5001,0.2,3.254899832670229
2897,0.2,2.6478004267039155
4864,0.2,3.5969016532912748
5754,0.2,2.7922257396711525
1444,0.2,3.9836615359682694
699,0.2,2.4843109518369033
1072,0.2,2.2172727190050545
8051,0.2,1.8933770848445008
6274,0.2,3.2363878487010385
6858,0.2,2.0385730990385715
7331,0.2,2.845822987605664
8065,0.2,3.0942132145019547
501,0.2,3.0763705866168127
7412,0.2,2.8061246856140016
9363,0.2,3.046525340084963
2441,0.2,2.7529494903251095
9116,0.2,3.3370589329719307
9189,0.2,2.722122940346656
350,0.2,3.4242824366522346
2871,0.2,3.0240267635155376
7845,0.2,4.495567764526806
7204,0.2,3.1871155355115177
3967,0.2,1.3379929166359048
2190,0.2,3.8972261315950205
5264,0.2,2.9543121227731954
6045,0.2,2.695945784838464
6283,0.2,3.9626319591451145
3360,0.2,3.44100699857142
2867,0.2,2.300793089021823
2512,0.2,3.1667534771928336
6573,0.2,2.0768378280810933
2706,0.2,2.7285276572403157
648,0.2,5.011471057037696
8404,0.2,3.6450729274317424
9950,0.2,2.6916744183313726
1418,0.2,2.2402736903327196
7947,0.2,3.060949502087369
6481,0.2,3.3629933088539072
4951,0.2,1.5753098118671134
7785,0.2,4.214140981570496
9571,0.2,2.483514898099077
4349,0.2,3.7669913429890785
3032,0.2,2.9792197633922943
1578,0.2,2.5079904212989588
4065,0.2,3.204769487255909
6669,0.2,3.0308028633748254
1776,0.2,2.9208378146655667
